match_id,tournament_id,round,match_number,team_a_name,team_b_name,match_date,match_time,server_id,score_a,score_b,winner_team_name,completed
4,1,R16,4,Pepsi Max Overflow,SegFault Spartans,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Pepsi Max Overflow,SegFault Spartans,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Pepsi Max Overflow,SegFault Spartans,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Pepsi Max Overflow,SegFault Spartans,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Pepsi Max Overflow,SegFault Spartans,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,WhileTrue Tryhards,NullPointer Ninjas,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,WhileTrue Tryhards,NullPointer Ninjas,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,WhileTrue Tryhards,NullPointer Ninjas,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,WhileTrue Tryhards,NullPointer Ninjas,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,WhileTrue Tryhards,NullPointer Ninjas,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,WhileTrue Tryhards,NullPointer Ninjas,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,WhileTrue Tryhards,NullPointer Ninjas,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,WhileTrue Tryhards,NullPointer Ninjas,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,IndentationError Invaders,OffByOne Offense,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,IndentationError Invaders,OffByOne Offense,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,IndentationError Invaders,OffByOne Offense,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,IndentationError Invaders,OffByOne Offense,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,IndentationError Invaders,OffByOne Offense,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,IndentationError Invaders,OffByOne Offense,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,IndentationError Invaders,OffByOne Offense,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,IndentationError Invaders,OffByOne Offense,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,RaceCondition Racers,StackOverflow Stackers,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,RaceCondition Racers,StackOverflow Stackers,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,RaceCondition Racers,StackOverflow Stackers,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,RaceCondition Racers,StackOverflow Stackers,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,RaceCondition Racers,StackOverflow Stackers,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,RaceCondition Racers,StackOverflow Stackers,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,RaceCondition Racers,StackOverflow Stackers,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,RaceCondition Racers,StackOverflow Stackers,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Bomblab Bombers,Datalab Dominators,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Bomblab Bombers,Datalab Dominators,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Bomblab Bombers,Datalab Dominators,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Bomblab Bombers,Datalab Dominators,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Bomblab Bombers,Datalab Dominators,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Bomblab Bombers,Datalab Dominators,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Bomblab Bombers,Datalab Dominators,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Bomblab Bombers,Datalab Dominators,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Assembly Avengers,CacheHit Crusaders,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Assembly Avengers,CacheHit Crusaders,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Assembly Avengers,CacheHit Crusaders,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Assembly Avengers,CacheHit Crusaders,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Assembly Avengers,CacheHit Crusaders,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Assembly Avengers,CacheHit Crusaders,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Assembly Avengers,CacheHit Crusaders,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Assembly Avengers,CacheHit Crusaders,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Pepsi Max Punishers,Segmentation Foul,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Pepsi Max Punishers,Segmentation Foul,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Pepsi Max Punishers,Segmentation Foul,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Pepsi Max Punishers,Segmentation Foul,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Pepsi Max Punishers,Segmentation Foul,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Pepsi Max Punishers,Segmentation Foul,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Pepsi Max Punishers,Segmentation Foul,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Pepsi Max Punishers,Segmentation Foul,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Undefined Behavior United,Chuck Norris Fan Club,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Undefined Behavior United,Chuck Norris Fan Club,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Undefined Behavior United,Chuck Norris Fan Club,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Undefined Behavior United,Chuck Norris Fan Club,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Undefined Behavior United,Chuck Norris Fan Club,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Undefined Behavior United,Chuck Norris Fan Club,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Undefined Behavior United,Chuck Norris Fan Club,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Undefined Behavior United,Chuck Norris Fan Club,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,CacheHit Crusaders,OffByOne Offense,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,CacheHit Crusaders,OffByOne Offense,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,CacheHit Crusaders,OffByOne Offense,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,CacheHit Crusaders,OffByOne Offense,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,CacheHit Crusaders,OffByOne Offense,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,CacheHit Crusaders,OffByOne Offense,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,CacheHit Crusaders,OffByOne Offense,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,CacheHit Crusaders,OffByOne Offense,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Assembly Avengers,Bomblab Bombers,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Assembly Avengers,Bomblab Bombers,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Assembly Avengers,Bomblab Bombers,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Assembly Avengers,Bomblab Bombers,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Assembly Avengers,Bomblab Bombers,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Assembly Avengers,Bomblab Bombers,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Assembly Avengers,Bomblab Bombers,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Assembly Avengers,Bomblab Bombers,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Pepsi Max Punishers,Datalab Dominators,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Pepsi Max Punishers,Datalab Dominators,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Pepsi Max Punishers,Datalab Dominators,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Pepsi Max Punishers,Datalab Dominators,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Pepsi Max Punishers,Datalab Dominators,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Pepsi Max Punishers,Datalab Dominators,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Pepsi Max Punishers,Datalab Dominators,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Pepsi Max Punishers,Datalab Dominators,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,StackOverflow Stackers,IndentationError Invaders,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,StackOverflow Stackers,IndentationError Invaders,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,StackOverflow Stackers,IndentationError Invaders,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,StackOverflow Stackers,IndentationError Invaders,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,StackOverflow Stackers,IndentationError Invaders,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,StackOverflow Stackers,IndentationError Invaders,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,StackOverflow Stackers,IndentationError Invaders,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,StackOverflow Stackers,IndentationError Invaders,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Pepsi Max Overflow,Undefined Behavior United,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Pepsi Max Overflow,Undefined Behavior United,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Pepsi Max Overflow,Undefined Behavior United,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Pepsi Max Overflow,Undefined Behavior United,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Pepsi Max Overflow,Undefined Behavior United,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Pepsi Max Overflow,Undefined Behavior United,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Pepsi Max Overflow,Undefined Behavior United,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Pepsi Max Overflow,Undefined Behavior United,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Segmentation Foul,RaceCondition Racers,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Segmentation Foul,RaceCondition Racers,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Segmentation Foul,RaceCondition Racers,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Segmentation Foul,RaceCondition Racers,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Segmentation Foul,RaceCondition Racers,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Segmentation Foul,RaceCondition Racers,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Segmentation Foul,RaceCondition Racers,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Segmentation Foul,RaceCondition Racers,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,SegFault Spartans,WhileTrue Tryhards,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,SegFault Spartans,WhileTrue Tryhards,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,SegFault Spartans,WhileTrue Tryhards,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,SegFault Spartans,WhileTrue Tryhards,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,SegFault Spartans,WhileTrue Tryhards,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,SegFault Spartans,WhileTrue Tryhards,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,SegFault Spartans,WhileTrue Tryhards,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,SegFault Spartans,WhileTrue Tryhards,2025-03-11,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Chuck Norris Fan Club,NullPointer Ninjas,2025-03-10 00:00:00,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Chuck Norris Fan Club,NullPointer Ninjas,2025-03-10 00:00:00,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Chuck Norris Fan Club,NullPointer Ninjas,2025-03-10 00:00:00,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Chuck Norris Fan Club,NullPointer Ninjas,2025-03-10 00:00:00,16:00,SRV-PEPSI,0,0,,False
1,1,R16,1,Chuck Norris Fan Club,NullPointer Ninjas,2025-03-11,10:00,SRV-PEPSI,0,0,,False
2,1,R16,2,Chuck Norris Fan Club,NullPointer Ninjas,2025-03-11,12:00,SRV-PEPSI,0,0,,False
3,1,R16,3,Chuck Norris Fan Club,NullPointer Ninjas,2025-03-11,14:00,SRV-PEPSI,0,0,,False
4,1,R16,4,Chuck Norris Fan Club,NullPointer Ninjas,2025-03-11,16:00,SRV-PEPSI,0,0,,False
